Year,Country,Foreign Direct Investment billion USD,Predicted FDI billion USD,FDI Potential in %,FDI Potential in billion USD,Average FDI Potential in billion USD (Last 5 Years),Average FDI Potential in % (Last 5 Years),Population size in millions,Gross Domestic Product billions of U.S. dollars,Value added in the agricultural sector as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Tax rate percent of commercial profits,Political stability index (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Rank
2021,Switzerland,9.31,6.4909363,0.6972004596452067,-2.8190637207031255,60.921675474166854,0.2629249593472946,8.7,800.64,0.63,17.99,71.92,28.8,1.13,1.73,1.0
2021,USA,448.32,392.16544,0.8747444588486252,-56.15456420898437,43.52513012695313,1.3105190782599483,331.89,23315.08,0.96,10.71,77.6,36.6,0.0,1.45,2.0
2021,Netherlands,-141.74,-110.13353,0.7770109331387465,31.60647033691407,39.567382781982424,1.4659641992813621,17.53,1012.85,1.55,10.83,69.44,41.2,0.92,1.75,3.0
2021,Belgium,24.04,12.181364,0.5067123152848687,-11.858635940551757,29.03674422836304,-0.10162629054820105,11.59,594.1,0.66,12.32,68.78,55.4,0.61,1.34,4.0
2021,United Kingdom,5.92,45.440174,7.675705084929596,39.5201741027832,18.01757769775391,1.755367532754796,67.33,3131.38,0.67,8.78,71.46,30.6,0.54,1.47,5.0
2021,Italy,18.91,35.489616,1.8767644840847684,16.57961639404297,17.151462860107422,1.0577005679627747,59.11,2107.7,1.93,14.9,65.22,59.1,0.58,0.55,6.0
2021,Austria,12.33,9.353212,0.7585735893404203,-2.9767876434326173,13.741724742889406,-0.030087960731483853,8.96,480.37,1.21,16.55,62.41,51.4,0.91,1.35,7.0
2021,Russia,40.45,39.38439,0.9736561627853638,-1.065608215332034,13.453251220703123,2.2898922758704416,143.45,1778.78,3.8,14.45,52.91,46.2,-0.65,-0.53,8.0
2021,South Korea,16.82,28.659231,1.7038781917903143,11.839231185913086,11.169855728149415,1.9692790012721317,51.74,1810.96,1.79,25.46,56.98,33.2,0.66,1.1,9.0
2021,Cyprus,-33.36,10.413748,-0.3121627034614984,43.773747787475585,9.852925491333007,-2.1563716736338074,1.24,28.41,1.7,5.7,73.22,22.4,0.44,0.86,10.0
2021,Luxembourg,-9.05,24.120087,-2.665202946952693,33.17008666992187,7.928574302673343,-0.3620878266802189,0.64,85.51,0.2,4.85,79.32,20.4,1.21,1.92,11.0
2021,Iraq,-2.64,3.5732586,-1.3535070599931658,6.213258638381959,7.699280500411987,-1.1516524002356907,43.53,207.89,3.95,2.05,43.46,30.8,-2.4,-1.11,12.0
2021,Saudi Arabia,19.29,16.199802,0.8398031310876952,-3.0901976013183585,7.6664257202148445,3.8866776476369047,35.95,833.54,2.31,13.06,46.69,15.7,-0.58,0.34,13.0
